route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
1,Indiana/Hyde Park,2001-01-01,"6,982.60",0,0,"153,617"
2,Hyde Park Express,2001-01-01,"1,000",0,0,"22,001"
3,King Drive,2001-01-01,"21,406.50","13,210.70","8,725.30","567,413"
4,Cottage Grove,2001-01-01,"22,432.20","17,994","10,662.20","618,796"
6,Jackson Park Express,2001-01-01,"18,443","13,088.20","7,165.60","493,926"
7,Harrison,2001-01-01,"5,504.40",0,0,"121,097"
8,Halsted,2001-01-01,"19,582.20","12,420","8,280.80","521,892"
8A,South Halsted,2001-01-01,"3,196.50","3,006.60","1,336.20","89,030"
9,Ashland,2001-01-01,"29,265.40","22,621.70","15,336.10","811,006"
10,Museum of S & I,2001-01-01,0,562.6,372.9,"4,115"
11,Lincoln/Sedgwick,2001-01-01,"3,448.70","1,667.30",869.5,"86,887"
12,Roosevelt,2001-01-01,"10,763.50","6,950.60","4,691","288,055"
14,Jeffery Express,2001-01-01,"8,484.30",0,0,"186,655"
17,Westchester,2001-01-01,514.5,0,0,"11,319"
18,16th/18th,2001-01-01,"1,923.80",898.5,642.3,"49,130"
19,United Center Express,2001-01-01,322,327.1,368.4,"6,273"
20,Madison,2001-01-01,"21,570.30","12,804.30","8,184","566,683"
21,Cermak,2001-01-01,"7,423.70","7,747.20","4,781","218,216"
X21,Cermak Express,2001-01-01,0,"1,177.90",855.9,"8,991"
22,Clark,2001-01-01,"21,206.20","14,634.50","10,462.20","577,386"
24,Wentworth,2001-01-01,"3,893.40",0,0,"85,655"
25,West Cermak,2001-01-01,144.8,0,0,"3,186"
27,South Deering,2001-01-01,"5,629.50","2,984.10","2,423.60","147,904"
28,Stony Island,2001-01-01,"11,964.90","11,269.60","5,587.80","336,246"
29,State,2001-01-01,"16,328.20","12,511.50","8,537.90","451,955"
30,South Chicago,2001-01-01,"3,823.50","1,960.20",652.2,"95,218"
33,Mag Mile Express,2001-01-01,770.2,0,0,"16,944"
34,South Michigan,2001-01-01,"7,911.60","5,744.20","3,580.50","214,933"
35,35th,2001-01-01,"5,977.70","3,342.50","1,810.10","153,931"
