service_date,day_type,bus,rail_boardings,total_rides
2001-01-01,U,"297,192","126,455","423,647"
2001-01-02,W,"780,827","501,952","1,282,779"
2001-01-03,W,"824,923","536,432","1,361,355"
2001-01-04,W,"870,021","550,011","1,420,032"
2001-01-05,W,"890,426","557,917","1,448,343"
2001-01-06,A,"577,401","255,356","832,757"
2001-01-07,U,"375,831","169,825","545,656"
2001-01-08,W,"985,221","590,706","1,575,927"
2001-01-09,W,"978,377","599,905","1,578,282"
2001-01-10,W,"984,884","602,052","1,586,936"
2001-01-11,W,"995,561","607,503","1,603,064"
2001-01-12,W,"1,018,985","605,252","1,624,237"
2001-01-13,A,"591,791","270,056","861,847"
2001-01-14,U,"373,091","174,842","547,933"
2001-01-15,W,"675,845","412,149","1,087,994"
2001-01-16,W,"1,024,367","622,163","1,646,530"
2001-01-17,W,"1,018,690","620,343","1,639,033"
2001-01-18,W,"1,006,996","618,832","1,625,828"
2001-01-19,W,"909,964","583,851","1,493,815"
2001-01-20,A,"582,348","263,815","846,163"
2001-01-21,U,"378,381","172,107","550,488"
2001-01-22,W,"1,005,936","598,777","1,604,713"
2001-01-23,W,"1,019,983","610,352","1,630,335"
2001-01-24,W,"991,661","606,835","1,598,496"
2001-01-25,W,"1,004,257","609,877","1,614,134"
2001-01-26,W,"965,324","597,039","1,562,363"
2001-01-27,A,"590,836","268,078","858,914"
2001-01-28,U,"368,819","174,434","543,253"
2001-01-29,W,"953,532","587,052","1,540,584"
2001-01-30,W,"982,046","607,858","1,589,904"
2001-01-31,W,"999,392","610,508","1,609,900"
2001-02-01,W,"1,054,608","615,268","1,669,876"
2001-02-02,W,"966,701","577,767","1,544,468"
2001-02-03,A,"611,703","263,612","875,315"
2001-02-04,U,"404,212","178,398","582,610"
2001-02-05,W,"1,045,944","600,588","1,646,532"
2001-02-06,W,"1,039,393","612,435","1,651,828"
2001-02-07,W,"1,015,059","609,022","1,624,081"
2001-02-08,W,"1,007,760","610,237","1,617,997"
2001-02-09,W,"970,826","593,354","1,564,180"
2001-02-10,A,"605,404","271,313","876,717"
2001-02-11,U,"405,433","178,810","584,243"
2001-02-12,W,"872,330","539,393","1,411,723"
2001-02-13,W,"1,050,834","622,753","1,673,587"
2001-02-14,W,"1,004,304","610,966","1,615,270"
2001-02-15,W,"1,028,938","613,323","1,642,261"
2001-02-16,W,"1,033,040","601,418","1,634,458"
2001-02-17,A,"591,717","269,294","861,011"
2001-02-18,U,"388,788","176,855","565,643"
2001-02-19,W,"782,447","457,891","1,240,338"
2001-02-20,W,"1,035,400","610,284","1,645,684"
2001-02-21,W,"986,212","600,133","1,586,345"
2001-02-22,W,"986,399","606,302","1,592,701"
2001-02-23,W,"1,024,235","602,352","1,626,587"
2001-02-24,A,"505,193","246,795","751,988"
2001-02-25,U,"351,637","172,132","523,769"
2001-02-26,W,"1,009,329","609,256","1,618,585"
2001-02-27,W,"1,000,630","609,305","1,609,935"
2001-02-28,W,"990,416","610,013","1,600,429"
2001-03-01,W,"1,051,889","618,440","1,670,329"
2001-03-02,W,"1,062,234","611,578","1,673,812"
2001-03-03,A,"678,870","286,786","965,656"
2001-03-04,U,"385,978","178,292","564,270"
2001-03-05,W,"863,086","549,759","1,412,845"
2001-03-06,W,"1,013,530","603,561","1,617,091"
2001-03-07,W,"1,028,462","616,666","1,645,128"
2001-03-08,W,"1,000,946","611,371","1,612,317"
2001-03-09,W,"1,038,368","606,672","1,645,040"
2001-03-10,A,"633,472","283,251","916,723"
2001-03-11,U,"410,081","188,228","598,309"
2001-03-12,W,"979,411","588,857","1,568,268"
2001-03-13,W,"1,017,685","611,347","1,629,032"
2001-03-14,W,"1,025,283","619,417","1,644,700"
2001-03-15,W,"960,667","596,612","1,557,279"
2001-03-16,W,"923,613","583,359","1,506,972"
2001-03-17,A,"602,158","343,893","946,051"
2001-03-18,U,"412,146","194,257","606,403"
2001-03-19,W,"1,021,700","602,469","1,624,169"
2001-03-20,W,"1,034,388","618,340","1,652,728"
2001-03-21,W,"1,029,332","616,764","1,646,096"
2001-03-22,W,"1,030,741","617,815","1,648,556"
2001-03-23,W,"1,030,685","605,605","1,636,290"
2001-03-24,A,"604,139","277,028","881,167"
2001-03-25,U,"348,817","170,742","519,559"
2001-03-26,W,"989,316","583,176","1,572,492"
